reference_date,target,horizon,target_end_date,value,location,output_type,output_type_id
2026-03-28,wk inc flu hosp,0,2026-03-28,3.186854756474495,AK,quantile,0.01
2026-03-28,wk inc flu hosp,1,2026-04-04,2.7255297872424125,AK,quantile,0.01
2026-03-28,wk inc flu hosp,2,2026-04-11,2.2131890112161634,AK,quantile,0.01
2026-03-28,wk inc flu hosp,3,2026-04-18,1.801711673438549,AK,quantile,0.01
2026-03-28,wk inc flu hosp,0,2026-03-28,3.2523219518363478,AK,quantile,0.025
2026-03-28,wk inc flu hosp,1,2026-04-04,2.8185960300266744,AK,quantile,0.025
2026-03-28,wk inc flu hosp,2,2026-04-11,2.3327895581722258,AK,quantile,0.025
2026-03-28,wk inc flu hosp,3,2026-04-18,1.9381877392530442,AK,quantile,0.025
2026-03-28,wk inc flu hosp,0,2026-03-28,3.341037614643574,AK,quantile,0.05
2026-03-28,wk inc flu hosp,1,2026-04-04,3.0648860529065134,AK,quantile,0.05
2026-03-28,wk inc flu hosp,2,2026-04-11,2.8220358684659006,AK,quantile,0.05
2026-03-28,wk inc flu hosp,3,2026-04-18,2.4522469356656074,AK,quantile,0.05
2026-03-28,wk inc flu hosp,0,2026-03-28,3.462022292613983,AK,quantile,0.1
2026-03-28,wk inc flu hosp,1,2026-04-04,3.266936865448952,AK,quantile,0.1
2026-03-28,wk inc flu hosp,2,2026-04-11,2.962991577386856,AK,quantile,0.1
2026-03-28,wk inc flu hosp,3,2026-04-18,2.5759169846773147,AK,quantile,0.1
2026-03-28,wk inc flu hosp,0,2026-03-28,3.7228482156991958,AK,quantile,0.15
2026-03-28,wk inc flu hosp,1,2026-04-04,3.4691382601857184,AK,quantile,0.15
2026-03-28,wk inc flu hosp,2,2026-04-11,3.041769114136696,AK,quantile,0.15
2026-03-28,wk inc flu hosp,3,2026-04-18,2.7406792417168617,AK,quantile,0.15
2026-03-28,wk inc flu hosp,0,2026-03-28,3.852276396751404,AK,quantile,0.2
2026-03-28,wk inc flu hosp,1,2026-04-04,3.56306049823761,AK,quantile,0.2
