reference_date,target,horizon,target_end_date,value,location,output_type,output_type_id
2026-03-21,wk inc flu hosp,1,2026-03-28,6.261949157714843,AK,quantile,0.7
2026-03-21,wk inc flu hosp,2,2026-04-04,4.98739932179451,AK,quantile,0.7
2026-03-21,wk inc flu hosp,3,2026-04-11,4.018136531114578,AK,quantile,0.7
2026-03-21,wk inc flu hosp,0,2026-03-21,8.16691568493843,AK,quantile,0.75
2026-03-21,wk inc flu hosp,1,2026-03-28,6.417302832007408,AK,quantile,0.75
2026-03-21,wk inc flu hosp,2,2026-04-04,5.153889521956444,AK,quantile,0.75
2026-03-21,wk inc flu hosp,3,2026-04-11,4.216029584407806,AK,quantile,0.75
2026-03-21,wk inc flu hosp,0,2026-03-21,8.347250318527221,AK,quantile,0.8
2026-03-21,wk inc flu hosp,1,2026-03-28,6.6292079329490665,AK,quantile,0.8
2026-03-21,wk inc flu hosp,2,2026-04-04,5.387749183177948,AK,quantile,0.8
2026-03-21,wk inc flu hosp,3,2026-04-11,4.396259558200836,AK,quantile,0.8
2026-03-21,wk inc flu hosp,0,2026-03-21,8.595856952667237,AK,quantile,0.85
2026-03-21,wk inc flu hosp,1,2026-03-28,6.865388971567153,AK,quantile,0.85
2026-03-21,wk inc flu hosp,2,2026-04-04,5.7669945657253265,AK,quantile,0.85
2026-03-21,wk inc flu hosp,3,2026-04-11,4.771307957172393,AK,quantile,0.85
2026-03-21,wk inc flu hosp,0,2026-03-21,8.832000327110292,AK,quantile,0.9
2026-03-21,wk inc flu hosp,1,2026-03-28,7.247972339391709,AK,quantile,0.9
2026-03-21,wk inc flu hosp,2,2026-04-04,5.9973647713661205,AK,quantile,0.9
2026-03-21,wk inc flu hosp,3,2026-04-11,5.148585343360901,AK,quantile,0.9
2026-03-21,wk inc flu hosp,0,2026-03-21,9.371935617923736,AK,quantile,0.95
2026-03-21,wk inc flu hosp,1,2026-03-28,7.691330733895302,AK,quantile,0.95
2026-03-21,wk inc flu hosp,2,2026-04-04,6.350061962008476,AK,quantile,0.95
2026-03-21,wk inc flu hosp,3,2026-04-11,5.5313242167234415,AK,quantile,0.95
2026-03-21,wk inc flu hosp,0,2026-03-21,9.811300203800204,AK,quantile,0.99
2026-03-21,wk inc flu hosp,1,2026-03-28,8.40867280483246,AK,quantile,0.99
2026-03-21,wk inc flu hosp,2,2026-04-04,7.454669113159182,AK,quantile,0.99
2026-03-21,wk inc flu hosp,3,2026-04-11,6.750321597456934,AK,quantile,0.99
2026-03-21,wk inc flu hosp,0,2026-03-21,127.80847272872924,AL,quantile,0.01
2026-03-21,wk inc flu hosp,1,2026-03-28,88.99667472839356,AL,quantile,0.01
2026-03-21,wk inc flu hosp,2,2026-04-04,59.57831152915955,AL,quantile,0.01
2026-03-21,wk inc flu hosp,3,2026-04-11,39.45573620080948,AL,quantile,0.01
2026-03-21,wk inc flu hosp,0,2026-03-21,132.95064816474914,AL,quantile,0.025
2026-03-21,wk inc flu hosp,1,2026-03-28,92.60767991542816,AL,quantile,0.025
2026-03-21,wk inc flu hosp,2,2026-04-04,65.45669207572936,AL,quantile,0.025
2026-03-21,wk inc flu hosp,3,2026-04-11,44.95144466161728,AL,quantile,0.025
2026-03-21,wk inc flu hosp,0,2026-03-21,136.92192287445067,AL,quantile,0.05
2026-03-21,wk inc flu hosp,1,2026-03-28,98.28292942047119,AL,quantile,0.05
2026-03-21,wk inc flu hosp,2,2026-04-04,67.89324030876159,AL,quantile,0.05
2026-03-21,wk inc flu hosp,3,2026-04-11,47.40154173374176,AL,quantile,0.05
2026-03-21,wk inc flu hosp,0,2026-03-21,140.74544506073,AL,quantile,0.1
2026-03-21,wk inc flu hosp,1,2026-03-28,102.23324928283691,AL,quantile,0.1
2026-03-21,wk inc flu hosp,2,2026-04-04,72.89495277404785,AL,quantile,0.1
2026-03-21,wk inc flu hosp,3,2026-04-11,52.156838703155515,AL,quantile,0.1
2026-03-21,wk inc flu hosp,0,2026-03-21,142.65672473907472,AL,quantile,0.15
2026-03-21,wk inc flu hosp,1,2026-03-28,105.876020860672,AL,quantile,0.15
2026-03-21,wk inc flu hosp,2,2026-04-04,77.07445487976074,AL,quantile,0.15
2026-03-21,wk inc flu hosp,3,2026-04-11,55.01070864200592,AL,quantile,0.15
2026-03-21,wk inc flu hosp,0,2026-03-21,145.396732711792,AL,quantile,0.2
2026-03-21,wk inc flu hosp,1,2026-03-28,109.14153480529785,AL,quantile,0.2
2026-03-21,wk inc flu hosp,2,2026-04-04,80.15038051605225,AL,quantile,0.2
2026-03-21,wk inc flu hosp,3,2026-04-11,58.571405220031735,AL,quantile,0.2
2026-03-21,wk inc flu hosp,0,2026-03-21,147.25899505615234,AL,quantile,0.25
2026-03-21,wk inc flu hosp,1,2026-03-28,110.77673101425171,AL,quantile,0.25
2026-03-21,wk inc flu hosp,2,2026-04-04,82.27674722671509,AL,quantile,0.25
2026-03-21,wk inc flu hosp,3,2026-04-11,61.084370374679565,AL,quantile,0.25
2026-03-21,wk inc flu hosp,0,2026-03-21,148.94035511016847,AL,quantile,0.3
2026-03-21,wk inc flu hosp,1,2026-03-28,112.44032192230225,AL,quantile,0.3
2026-03-21,wk inc flu hosp,2,2026-04-04,84.72209320068359,AL,quantile,0.3
2026-03-21,wk inc flu hosp,3,2026-04-11,63.479407787323,AL,quantile,0.3
2026-03-21,wk inc flu hosp,0,2026-03-21,150.52792825698853,AL,quantile,0.35
2026-03-21,wk inc flu hosp,1,2026-03-28,114.73711347579956,AL,quantile,0.35
2026-03-21,wk inc flu hosp,2,2026-04-04,87.4340126991272,AL,quantile,0.35
2026-03-21,wk inc flu hosp,3,2026-04-11,66.87496967315674,AL,quantile,0.35
2026-03-21,wk inc flu hosp,0,2026-03-21,152.36165924072264,AL,quantile,0.4
2026-03-21,wk inc flu hosp,1,2026-03-28,117.24464054107666,AL,quantile,0.4
2026-03-21,wk inc flu hosp,2,2026-04-04,90.75152130126953,AL,quantile,0.4
2026-03-21,wk inc flu hosp,3,2026-04-11,69.56612224578858,AL,quantile,0.4
2026-03-21,wk inc flu hosp,0,2026-03-21,153.90445194244384,AL,quantile,0.45
2026-03-21,wk inc flu hosp,1,2026-03-28,119.12732930183411,AL,quantile,0.45
2026-03-21,wk inc flu hosp,2,2026-04-04,92.83291306495667,AL,quantile,0.45
2026-03-21,wk inc flu hosp,3,2026-04-11,71.73779940605164,AL,quantile,0.45
2026-03-21,wk inc flu hosp,0,2026-03-21,155.481351852417,AL,quantile,0.5
2026-03-21,wk inc flu hosp,1,2026-03-28,120.94641733169556,AL,quantile,0.5
2026-03-21,wk inc flu hosp,2,2026-04-04,95.03483390808105,AL,quantile,0.5
2026-03-21,wk inc flu hosp,3,2026-04-11,73.9590516090393,AL,quantile,0.5
2026-03-21,wk inc flu hosp,0,2026-03-21,157.28208475112916,AL,quantile,0.55
2026-03-21,wk inc flu hosp,1,2026-03-28,123.1377206325531,AL,quantile,0.55
2026-03-21,wk inc flu hosp,2,2026-04-04,97.02055602073669,AL,quantile,0.55
2026-03-21,wk inc flu hosp,3,2026-04-11,76.28590717315674,AL,quantile,0.55
2026-03-21,wk inc flu hosp,0,2026-03-21,158.50403900146483,AL,quantile,0.6
2026-03-21,wk inc flu hosp,1,2026-03-28,124.91995658874512,AL,quantile,0.6
2026-03-21,wk inc flu hosp,2,2026-04-04,98.28053073883056,AL,quantile,0.6
2026-03-21,wk inc flu hosp,3,2026-04-11,78.73590240478515,AL,quantile,0.6
2026-03-21,wk inc flu hosp,0,2026-03-21,159.8379291534424,AL,quantile,0.65
2026-03-21,wk inc flu hosp,1,2026-03-28,127.60005149841308,AL,quantile,0.65
2026-03-21,wk inc flu hosp,2,2026-04-04,103.01151881217957,AL,quantile,0.65
2026-03-21,wk inc flu hosp,3,2026-04-11,83.53377013206482,AL,quantile,0.65
2026-03-21,wk inc flu hosp,0,2026-03-21,161.7999095916748,AL,quantile,0.7
2026-03-21,wk inc flu hosp,1,2026-03-28,131.15926723480226,AL,quantile,0.7
2026-03-21,wk inc flu hosp,2,2026-04-04,106.41665925979613,AL,quantile,0.7
2026-03-21,wk inc flu hosp,3,2026-04-11,86.33639144897461,AL,quantile,0.7
2026-03-21,wk inc flu hosp,0,2026-03-21,163.87811613082886,AL,quantile,0.75
2026-03-21,wk inc flu hosp,1,2026-03-28,134.81499767303467,AL,quantile,0.75
2026-03-21,wk inc flu hosp,2,2026-04-04,111.08708763122559,AL,quantile,0.75
2026-03-21,wk inc flu hosp,3,2026-04-11,91.33623003959656,AL,quantile,0.75
2026-03-21,wk inc flu hosp,0,2026-03-21,165.9130069732666,AL,quantile,0.8
2026-03-21,wk inc flu hosp,1,2026-03-28,137.55772590637207,AL,quantile,0.8
2026-03-21,wk inc flu hosp,2,2026-04-04,116.07139625549317,AL,quantile,0.8
2026-03-21,wk inc flu hosp,3,2026-04-11,98.54736804962158,AL,quantile,0.8
2026-03-21,wk inc flu hosp,0,2026-03-21,167.72401599884031,AL,quantile,0.85
2026-03-21,wk inc flu hosp,1,2026-03-28,141.12842121124268,AL,quantile,0.85
2026-03-21,wk inc flu hosp,2,2026-04-04,120.09647469520567,AL,quantile,0.85
2026-03-21,wk inc flu hosp,3,2026-04-11,102.87274336814879,AL,quantile,0.85
2026-03-21,wk inc flu hosp,0,2026-03-21,170.36290760040282,AL,quantile,0.9
2026-03-21,wk inc flu hosp,1,2026-03-28,144.24640350341798,AL,quantile,0.9
2026-03-21,wk inc flu hosp,2,2026-04-04,126.1110845565796,AL,quantile,0.9
2026-03-21,wk inc flu hosp,3,2026-04-11,109.96550359725953,AL,quantile,0.9
2026-03-21,wk inc flu hosp,0,2026-03-21,173.71837110519408,AL,quantile,0.95
2026-03-21,wk inc flu hosp,1,2026-03-28,149.64419727325438,AL,quantile,0.95
2026-03-21,wk inc flu hosp,2,2026-04-04,132.34839143753052,AL,quantile,0.95
2026-03-21,wk inc flu hosp,3,2026-04-11,117.43037357330321,AL,quantile,0.95
2026-03-21,wk inc flu hosp,0,2026-03-21,182.335148601532,AL,quantile,0.99
2026-03-21,wk inc flu hosp,1,2026-03-28,161.51086086273196,AL,quantile,0.99
2026-03-21,wk inc flu hosp,2,2026-04-04,146.90345821380618,AL,quantile,0.99
2026-03-21,wk inc flu hosp,3,2026-04-11,130.86236410140998,AL,quantile,0.99
2026-03-21,wk inc flu hosp,0,2026-03-21,163.28830202102662,AZ,quantile,0.01
2026-03-21,wk inc flu hosp,1,2026-03-28,107.37474343299866,AZ,quantile,0.01
2026-03-21,wk inc flu hosp,2,2026-04-04,72.88493423938752,AZ,quantile,0.01
2026-03-21,wk inc flu hosp,3,2026-04-11,48.400544261932374,AZ,quantile,0.01
2026-03-21,wk inc flu hosp,0,2026-03-21,169.7121796131134,AZ,quantile,0.025
2026-03-21,wk inc flu hosp,1,2026-03-28,119.37443091869355,AZ,quantile,0.025
2026-03-21,wk inc flu hosp,2,2026-04-04,84.0607106924057,AZ,quantile,0.025
2026-03-21,wk inc flu hosp,3,2026-04-11,57.347768342494966,AZ,quantile,0.025
2026-03-21,wk inc flu hosp,0,2026-03-21,172.9758776664734,AZ,quantile,0.05
2026-03-21,wk inc flu hosp,1,2026-03-28,126.179936170578,AZ,quantile,0.05
2026-03-21,wk inc flu hosp,2,2026-04-04,89.00392169952393,AZ,quantile,0.05
2026-03-21,wk inc flu hosp,3,2026-04-11,62.07691929340363,AZ,quantile,0.05
2026-03-21,wk inc flu hosp,0,2026-03-21,178.24749088287354,AZ,quantile,0.1
2026-03-21,wk inc flu hosp,1,2026-03-28,130.57883729934693,AZ,quantile,0.1
2026-03-21,wk inc flu hosp,2,2026-04-04,92.08500547409058,AZ,quantile,0.1
2026-03-21,wk inc flu hosp,3,2026-04-11,65.46848845481873,AZ,quantile,0.1
2026-03-21,wk inc flu hosp,0,2026-03-21,182.09055433273315,AZ,quantile,0.15
2026-03-21,wk inc flu hosp,1,2026-03-28,133.73311614990234,AZ,quantile,0.15
2026-03-21,wk inc flu hosp,2,2026-04-04,98.2425311088562,AZ,quantile,0.15
2026-03-21,wk inc flu hosp,3,2026-04-11,70.84044938087463,AZ,quantile,0.15
2026-03-21,wk inc flu hosp,0,2026-03-21,184.4907085418701,AZ,quantile,0.2
2026-03-21,wk inc flu hosp,1,2026-03-28,139.05176277160643,AZ,quantile,0.2
2026-03-21,wk inc flu hosp,2,2026-04-04,103.62595348358154,AZ,quantile,0.2
2026-03-21,wk inc flu hosp,3,2026-04-11,75.97268714904786,AZ,quantile,0.2
2026-03-21,wk inc flu hosp,0,2026-03-21,186.82770252227783,AZ,quantile,0.25
2026-03-21,wk inc flu hosp,1,2026-03-28,141.48739433288574,AZ,quantile,0.25
2026-03-21,wk inc flu hosp,2,2026-04-04,106.68682837486267,AZ,quantile,0.25
2026-03-21,wk inc flu hosp,3,2026-04-11,79.4781060218811,AZ,quantile,0.25
2026-03-21,wk inc flu hosp,0,2026-03-21,188.51839027404785,AZ,quantile,0.3
2026-03-21,wk inc flu hosp,1,2026-03-28,143.95487155914307,AZ,quantile,0.3
2026-03-21,wk inc flu hosp,2,2026-04-04,109.18125314712525,AZ,quantile,0.3
2026-03-21,wk inc flu hosp,3,2026-04-11,81.81039543151856,AZ,quantile,0.3
2026-03-21,wk inc flu hosp,0,2026-03-21,191.16068344116212,AZ,quantile,0.35
2026-03-21,wk inc flu hosp,1,2026-03-28,146.62958831787108,AZ,quantile,0.35
2026-03-21,wk inc flu hosp,2,2026-04-04,112.09528622627259,AZ,quantile,0.35
2026-03-21,wk inc flu hosp,3,2026-04-11,84.85334219932557,AZ,quantile,0.35
2026-03-21,wk inc flu hosp,0,2026-03-21,192.60923347473144,AZ,quantile,0.4
2026-03-21,wk inc flu hosp,1,2026-03-28,148.12878799438477,AZ,quantile,0.4
2026-03-21,wk inc flu hosp,2,2026-04-04,113.99083213806152,AZ,quantile,0.4
2026-03-21,wk inc flu hosp,3,2026-04-11,86.69516620635986,AZ,quantile,0.4
2026-03-21,wk inc flu hosp,0,2026-03-21,194.34929733276368,AZ,quantile,0.45
2026-03-21,wk inc flu hosp,1,2026-03-28,151.12128868103028,AZ,quantile,0.45
2026-03-21,wk inc flu hosp,2,2026-04-04,117.70224146842958,AZ,quantile,0.45
2026-03-21,wk inc flu hosp,3,2026-04-11,92.23443179130555,AZ,quantile,0.45
2026-03-21,wk inc flu hosp,0,2026-03-21,196.58195972442627,AZ,quantile,0.5
2026-03-21,wk inc flu hosp,1,2026-03-28,153.54741287231445,AZ,quantile,0.5
2026-03-21,wk inc flu hosp,2,2026-04-04,121.10683965682983,AZ,quantile,0.5
