reference_date,target,horizon,target_end_date,value,location,output_type,output_type_id
2026-03-21,wk inc rsv hosp,0,2026-03-21,11.360556626319886,AK,quantile,0.7
2026-03-21,wk inc rsv hosp,1,2026-03-28,12.518972957134247,AK,quantile,0.7
2026-03-21,wk inc rsv hosp,2,2026-04-04,14.065785789489745,AK,quantile,0.7
2026-03-21,wk inc rsv hosp,3,2026-04-11,16.019677495956422,AK,quantile,0.7
2026-03-21,wk inc rsv hosp,0,2026-03-21,11.678854256868362,AK,quantile,0.75
2026-03-21,wk inc rsv hosp,1,2026-03-28,13.10083121061325,AK,quantile,0.75
2026-03-21,wk inc rsv hosp,2,2026-04-04,14.66722497344017,AK,quantile,0.75
2026-03-21,wk inc rsv hosp,3,2026-04-11,16.773603677749634,AK,quantile,0.75
2026-03-21,wk inc rsv hosp,0,2026-03-21,12.116549634933472,AK,quantile,0.8
2026-03-21,wk inc rsv hosp,1,2026-03-28,13.48692696094513,AK,quantile,0.8
2026-03-21,wk inc rsv hosp,2,2026-04-04,15.471447277069093,AK,quantile,0.8
2026-03-21,wk inc rsv hosp,3,2026-04-11,17.79325428009033,AK,quantile,0.8
2026-03-21,wk inc rsv hosp,0,2026-03-21,12.644955641031265,AK,quantile,0.85
2026-03-21,wk inc rsv hosp,1,2026-03-28,14.229336166381835,AK,quantile,0.85
2026-03-21,wk inc rsv hosp,2,2026-04-04,16.425169253349303,AK,quantile,0.85
2026-03-21,wk inc rsv hosp,3,2026-04-11,19.27016665935516,AK,quantile,0.85
2026-03-21,wk inc rsv hosp,0,2026-03-21,13.466663813591005,AK,quantile,0.9
2026-03-21,wk inc rsv hosp,1,2026-03-28,15.876870131492616,AK,quantile,0.9
2026-03-21,wk inc rsv hosp,2,2026-04-04,18.403239822387697,AK,quantile,0.9
2026-03-21,wk inc rsv hosp,3,2026-04-11,21.972278165817272,AK,quantile,0.9
2026-03-21,wk inc rsv hosp,0,2026-03-21,14.499442267417907,AK,quantile,0.95
2026-03-21,wk inc rsv hosp,1,2026-03-28,17.31006553173065,AK,quantile,0.95
2026-03-21,wk inc rsv hosp,2,2026-04-04,21.750144338607786,AK,quantile,0.95
2026-03-21,wk inc rsv hosp,3,2026-04-11,26.678774821758267,AK,quantile,0.95
2026-03-21,wk inc rsv hosp,0,2026-03-21,16.615051710605623,AK,quantile,0.99
2026-03-21,wk inc rsv hosp,1,2026-03-28,19.52137868881226,AK,quantile,0.99
2026-03-21,wk inc rsv hosp,2,2026-04-04,23.63785607337952,AK,quantile,0.99
2026-03-21,wk inc rsv hosp,3,2026-04-11,30.1577403664589,AK,quantile,0.99
2026-03-21,wk inc rsv hosp,0,2026-03-21,52.20493872642517,AL,quantile,0.01
2026-03-21,wk inc rsv hosp,1,2026-03-28,43.90303181171417,AL,quantile,0.01
2026-03-21,wk inc rsv hosp,2,2026-04-04,35.896055054664615,AL,quantile,0.01
2026-03-21,wk inc rsv hosp,3,2026-04-11,28.16577191352844,AL,quantile,0.01
2026-03-21,wk inc rsv hosp,0,2026-03-21,53.88628350496292,AL,quantile,0.025
2026-03-21,wk inc rsv hosp,1,2026-03-28,46.17706471681595,AL,quantile,0.025
2026-03-21,wk inc rsv hosp,2,2026-04-04,38.210614788532254,AL,quantile,0.025
2026-03-21,wk inc rsv hosp,3,2026-04-11,29.68225596547127,AL,quantile,0.025
2026-03-21,wk inc rsv hosp,0,2026-03-21,54.77761549949646,AL,quantile,0.05
2026-03-21,wk inc rsv hosp,1,2026-03-28,47.783163046836854,AL,quantile,0.05
2026-03-21,wk inc rsv hosp,2,2026-04-04,40.88469581604004,AL,quantile,0.05
2026-03-21,wk inc rsv hosp,3,2026-04-11,35.35030570030212,AL,quantile,0.05
2026-03-21,wk inc rsv hosp,0,2026-03-21,58.240254211425786,AL,quantile,0.1
2026-03-21,wk inc rsv hosp,1,2026-03-28,50.048974704742434,AL,quantile,0.1
2026-03-21,wk inc rsv hosp,2,2026-04-04,43.13975138664246,AL,quantile,0.1
2026-03-21,wk inc rsv hosp,3,2026-04-11,36.847371339797974,AL,quantile,0.1
2026-03-21,wk inc rsv hosp,0,2026-03-21,59.53895421028137,AL,quantile,0.15
2026-03-21,wk inc rsv hosp,1,2026-03-28,52.464631128311154,AL,quantile,0.15
2026-03-21,wk inc rsv hosp,2,2026-04-04,45.59637217521667,AL,quantile,0.15
2026-03-21,wk inc rsv hosp,3,2026-04-11,39.167777109146115,AL,quantile,0.15
2026-03-21,wk inc rsv hosp,0,2026-03-21,60.96138095855713,AL,quantile,0.2
2026-03-21,wk inc rsv hosp,1,2026-03-28,54.94225215911865,AL,quantile,0.2
2026-03-21,wk inc rsv hosp,2,2026-04-04,48.78456115722656,AL,quantile,0.2
2026-03-21,wk inc rsv hosp,3,2026-04-11,41.664954566955565,AL,quantile,0.2
2026-03-21,wk inc rsv hosp,0,2026-03-21,61.88648056983948,AL,quantile,0.25
2026-03-21,wk inc rsv hosp,1,2026-03-28,56.569422483444214,AL,quantile,0.25
2026-03-21,wk inc rsv hosp,2,2026-04-04,50.83760738372803,AL,quantile,0.25
2026-03-21,wk inc rsv hosp,3,2026-04-11,44.819918632507324,AL,quantile,0.25
2026-03-21,wk inc rsv hosp,0,2026-03-21,62.77654800415039,AL,quantile,0.3
2026-03-21,wk inc rsv hosp,1,2026-03-28,57.78389482498169,AL,quantile,0.3
2026-03-21,wk inc rsv hosp,2,2026-04-04,52.21074442863464,AL,quantile,0.3
2026-03-21,wk inc rsv hosp,3,2026-04-11,47.39918580055237,AL,quantile,0.3
2026-03-21,wk inc rsv hosp,0,2026-03-21,63.6823456287384,AL,quantile,0.35
2026-03-21,wk inc rsv hosp,1,2026-03-28,59.05507950782776,AL,quantile,0.35
2026-03-21,wk inc rsv hosp,2,2026-04-04,53.82345852851868,AL,quantile,0.35
2026-03-21,wk inc rsv hosp,3,2026-04-11,49.550463032722476,AL,quantile,0.35
2026-03-21,wk inc rsv hosp,0,2026-03-21,64.91762580871583,AL,quantile,0.4
2026-03-21,wk inc rsv hosp,1,2026-03-28,61.794317436218265,AL,quantile,0.4
2026-03-21,wk inc rsv hosp,2,2026-04-04,56.72029438018799,AL,quantile,0.4
2026-03-21,wk inc rsv hosp,3,2026-04-11,52.03676595687866,AL,quantile,0.4
2026-03-21,wk inc rsv hosp,0,2026-03-21,66.38637223243714,AL,quantile,0.45
2026-03-21,wk inc rsv hosp,1,2026-03-28,63.15522689819336,AL,quantile,0.45
2026-03-21,wk inc rsv hosp,2,2026-04-04,59.899896192550656,AL,quantile,0.45
2026-03-21,wk inc rsv hosp,3,2026-04-11,55.497376799583435,AL,quantile,0.45
2026-03-21,wk inc rsv hosp,0,2026-03-21,67.40167284011841,AL,quantile,0.5
